Currency,Units per HKD,HKD per unit,Date
USD,0.128324413,7.79274948,2022-02-03
EUR,0.11231238,8.903737923,2022-02-03
GBP,0.094338715,10.600102,2022-02-03
INR,9.587558132,0.104301845,2022-02-03
AUD,0.179662394,5.565995083,2022-02-03
CAD,0.162685911,6.146813784,2022-02-03
SGD,0.172434412,5.799306457,2022-02-03
CHF,0.118220352,8.458780437,2022-02-03
MXN,2.639589886,0.378846731,2022-02-03
PHP,6.541577463,0.152868327,2022-02-03
PLN,0.509272633,1.963584799,2022-02-03
PEN,0.494963356,2.020351584,2022-02-03
USD,0.128382424,7.789228241,2022-02-04
EUR,0.112099677,8.9206323,2022-02-04
GBP,0.09479976,10.54854993,2022-02-04
INR,9.582729393,0.104354402,2022-02-04
AUD,0.181647495,5.505168129,2022-02-04
CAD,0.163819387,6.104283606,2022-02-04
SGD,0.172726487,5.789500024,2022-02-04
CHF,0.118738793,8.42184742,2022-02-04
MXN,2.659441016,0.376018868,2022-02-04
PHP,6.583133803,0.151903338,2022-02-04
PLN,0.511036337,1.956808016,2022-02-04
PEN,0.497333652,2.01072257,2022-02-04
USD,0.128398585,7.788247813,2022-02-05
EUR,0.112139975,8.917426656,2022-02-05
GBP,0.094887917,10.53874965,2022-02-05
INR,9.585450895,0.104324774,2022-02-05
AUD,0.181550901,5.50809716,2022-02-05
CAD,0.164032435,6.096355279,2022-02-05
SGD,0.172785216,5.787532182,2022-02-05
CHF,0.118830323,8.415360433,2022-02-05
MXN,2.655499969,0.37657692,2022-02-05
PHP,6.577417271,0.15203536,2022-02-05
PLN,0.511930337,1.95339078,2022-02-05
PEN,0.492306455,2.031255103,2022-02-05
USD,0.128392162,7.78863747,2022-02-06
EUR,0.112098631,8.920715528,2022-02-06
GBP,0.094838995,10.54418598,2022-02-06
INR,9.586473489,0.104313646,2022-02-06
AUD,0.181525799,5.508858827,2022-02-06
CAD,0.163850447,6.103126486,2022-02-06
SGD,0.172781893,5.787643508,2022-02-06
CHF,0.118773822,8.419363657,2022-02-06
MXN,2.655423663,0.376587742,2022-02-06
PHP,6.575769048,0.152073467,2022-02-06
PLN,0.511879987,1.953582921,2022-02-06
PEN,0.492260433,2.03144501,2022-02-06
USD,0.12833281,7.792239543,2022-02-07
EUR,0.112259306,8.907947444,2022-02-07
GBP,0.094837077,10.54439925,2022-02-07
INR,9.583991938,0.104340655,2022-02-07
AUD,0.180457296,5.541477238,2022-02-07
CAD,0.162795926,6.142659872,2022-02-07
SGD,0.172504303,5.796956836,2022-02-07
CHF,0.118627059,8.429779929,2022-02-07
MXN,2.65040929,0.377300217,2022-02-07
PHP,6.611909072,0.151242249,2022-02-07
PLN,0.509428855,1.962982642,2022-02-07
PEN,0.492424657,2.030767523,2022-02-07
USD,0.128290358,7.794818073,2022-02-08
EUR,0.112378491,8.898499993,2022-02-08
GBP,0.094668367,10.56319059,2022-02-08
INR,9.585539764,0.104323807,2022-02-08
AUD,0.179860394,5.55986773,2022-02-08
CAD,0.163033261,6.133717719,2022-02-08
SGD,0.172540402,5.795743998,2022-02-08
CHF,0.118621385,8.430183161,2022-02-08
MXN,2.647584206,0.377702812,2022-02-08
PHP,6.603530264,0.151434151,2022-02-08
PLN,0.50924493,1.963691618,2022-02-08
PEN,0.492785905,2.029278821,2022-02-08
USD,0.128347412,7.791353052,2022-02-09
